2024/01/01, JM4325522, 00002, 19.17, 2.88, 22.05
2024/01/02, JD2034032, 00006, 124.56, 18.68, 143.24
2024/01/03, HD8335005, 00010, 78.98, 11.85, 90.83
2024/01/05, JM4325522, 00014, 101.12, 15.17, 116.29
2024/01/05, SN6677445, 00018, 153.45, 23.02, 176.47
2024/01/06, HD8335005, 00022, 82.44, 12.37, 94.81
2024/01/07, JD2034032, 00026, 16.12, 2.24, 18.54
2024/01/08, JM4325522, 00030, 81.12, 12.17, 93.29
2024/01/09, HD8335005, 00034, 74.44, 11.17, 85.61
2024/01/10, JD2034032, 00038, 104.57, 15.69, 120.26
